Area Code,Area,Element Code,Months Code,Months,Year Code,Year,Unit,Value
11,Austria,7271,7004,April,2013,2013,Celsius,1.964
11,Austria,7271,7004,April,2014,2014,Celsius,2.932
11,Austria,7271,7004,April,2015,2015,Celsius,1.321
11,Austria,7271,7004,April,2016,2016,Celsius,1.921
11,Austria,7271,7004,April,2017,2017,Celsius,0.837
11,Austria,7271,7004,April,2018,2018,Celsius,5.448
11,Austria,7271,7004,April,2019,2019,Celsius,2.187
11,Austria,7271,7005,May,1961,1961,Celsius,-1.18
11,Austria,7271,7005,May,1962,1962,Celsius,-1.586
11,Austria,7271,7005,May,1963,1963,Celsius,-0.047
11,Austria,7271,7005,May,1964,1964,Celsius,0.855
11,Austria,7271,7005,May,1965,1965,Celsius,-1.205
11,Austria,7271,7005,May,1966,1966,Celsius,0.453
11,Austria,7271,7005,May,1967,1967,Celsius,0.505
11,Austria,7271,7005,May,1968,1968,Celsius,0.215
11,Austria,7271,7005,May,1969,1969,Celsius,2.319
11,Austria,7271,7005,May,1970,1970,Celsius,-1.561
11,Austria,7271,7005,May,1971,1971,Celsius,1.695
11,Austria,7271,7005,May,1972,1972,Celsius,-0.291
11,Austria,7271,7005,May,1973,1973,Celsius,1.136
11,Austria,7271,7005,May,1974,1974,Celsius,-0.684
11,Austria,7271,7005,May,1975,1975,Celsius,1.134
11,Austria,7271,7005,May,1976,1976,Celsius,0.621
11,Austria,7271,7005,May,1977,1977,Celsius,0.193
11,Austria,7271,7005,May,1978,1978,Celsius,-1.167
11,Austria,7271,7005,May,1979,1979,Celsius,0.628
11,Austria,7271,7005,May,1980,1980,Celsius,-1.834
11,Austria,7271,7005,May,1981,1981,Celsius,0.442
11,Austria,7271,7005,May,1982,1982,Celsius,0.695
11,Austria,7271,7005,May,1983,1983,Celsius,0.621
11,Austria,7271,7005,May,1984,1984,Celsius,-1.111
11,Austria,7271,7005,May,1985,1985,Celsius,1.258
11,Austria,7271,7005,May,1986,1986,Celsius,3.015
11,Austria,7271,7005,May,1987,1987,Celsius,-1.537
11,Austria,7271,7005,May,1988,1988,Celsius,1.628
11,Austria,7271,7005,May,1989,1989,Celsius,0.707
11,Austria,7271,7005,May,1990,1990,Celsius,1.814
11,Austria,7271,7005,May,1991,1991,Celsius,-2.708
11,Austria,7271,7005,May,1992,1992,Celsius,1.848
11,Austria,7271,7005,May,1993,1993,Celsius,2.995
11,Austria,7271,7005,May,1994,1994,Celsius,1.111
11,Austria,7271,7005,May,1995,1995,Celsius,0.694
11,Austria,7271,7005,May,1996,1996,Celsius,1.26
11,Austria,7271,7005,May,1997,1997,Celsius,1.564
11,Austria,7271,7005,May,1998,1998,Celsius,1.494
11,Austria,7271,7005,May,1999,1999,Celsius,2.15
11,Austria,7271,7005,May,2000,2000,Celsius,2.959
11,Austria,7271,7005,May,2001,2001,Celsius,3.179
11,Austria,7271,7005,May,2002,2002,Celsius,2.72
11,Austria,7271,7005,May,2003,2003,Celsius,3.552
11,Austria,7271,7005,May,2004,2004,Celsius,-0.425
11,Austria,7271,7005,May,2005,2005,Celsius,1.714
11,Austria,7271,7005,May,2006,2006,Celsius,1.017
11,Austria,7271,7005,May,2007,2007,Celsius,2.667
11,Austria,7271,7005,May,2008,2008,Celsius,2.358
11,Austria,7271,7005,May,2009,2009,Celsius,2.788
11,Austria,7271,7005,May,2010,2010,Celsius,0.531
11,Austria,7271,7005,May,2011,2011,Celsius,2.037
11,Austria,7271,7005,May,2012,2012,Celsius,2.207
11,Austria,7271,7005,May,2013,2013,Celsius,0.509
11,Austria,7271,7005,May,2014,2014,Celsius,0.588
11,Austria,7271,7005,May,2015,2015,Celsius,1.65
11,Austria,7271,7005,May,2016,2016,Celsius,1.104
11,Austria,7271,7005,May,2017,2017,Celsius,2.265
11,Austria,7271,7005,May,2018,2018,Celsius,4.056
11,Austria,7271,7005,May,2019,2019,Celsius,-1.269
11,Austria,7271,7006,June,1961,1961,Celsius,0.864
11,Austria,7271,7006,June,1962,1962,Celsius,-1.702
11,Austria,7271,7006,June,1963,1963,Celsius,0.542
11,Austria,7271,7006,June,1964,1964,Celsius,1.833
11,Austria,7271,7006,June,1965,1965,Celsius,0.099
11,Austria,7271,7006,June,1966,1966,Celsius,0.763
11,Austria,7271,7006,June,1967,1967,Celsius,-0.614
11,Austria,7271,7006,June,1968,1968,Celsius,0.269
11,Austria,7271,7006,June,1969,1969,Celsius,-1.18
11,Austria,7271,7006,June,1970,1970,Celsius,1.196
11,Austria,7271,7006,June,1971,1971,Celsius,-1.111
11,Austria,7271,7006,June,1972,1972,Celsius,-0.058
11,Austria,7271,7006,June,1973,1973,Celsius,0.322
11,Austria,7271,7006,June,1974,1974,Celsius,-1.658
11,Austria,7271,7006,June,1975,1975,Celsius,-1.063
11,Austria,7271,7006,June,1976,1976,Celsius,0.898
11,Austria,7271,7006,June,1977,1977,Celsius,0.47
11,Austria,7271,7006,June,1978,1978,Celsius,-0.844
11,Austria,7271,7006,June,1979,1979,Celsius,1.613
11,Austria,7271,7006,June,1980,1980,Celsius,-0.777
11,Austria,7271,7006,June,1981,1981,Celsius,0.714
11,Austria,7271,7006,June,1982,1982,Celsius,1.112
11,Austria,7271,7006,June,1983,1983,Celsius,0.444
11,Austria,7271,7006,June,1984,1984,Celsius,-0.861
11,Austria,7271,7006,June,1985,1985,Celsius,-1.512
11,Austria,7271,7006,June,1986,1986,Celsius,-0.02
11,Austria,7271,7006,June,1987,1987,Celsius,-0.421
11,Austria,7271,7006,June,1988,1988,Celsius,-0.306
11,Austria,7271,7006,June,1989,1989,Celsius,-1.131
11,Austria,7271,7006,June,1990,1990,Celsius,-0.036
11,Austria,7271,7006,June,1991,1991,Celsius,-0.432
11,Austria,7271,7006,June,1992,1992,Celsius,0.917
11,Austria,7271,7006,June,1993,1993,Celsius,0.914
11,Austria,7271,7006,June,1994,1994,Celsius,1.171
11,Austria,7271,7006,June,1995,1995,Celsius,-0.857
11,Austria,7271,7006,June,1996,1996,Celsius,1.438
11,Austria,7271,7006,June,1997,1997,Celsius,0.799
11,Austria,7271,7006,June,1998,1998,Celsius,1.835
11,Austria,7271,7006,June,1999,1999,Celsius,0.399
11,Austria,7271,7006,June,2000,2000,Celsius,2.378
11,Austria,7271,7006,June,2001,2001,Celsius,-0.327
11,Austria,7271,7006,June,2002,2002,Celsius,2.945
11,Austria,7271,7006,June,2003,2003,Celsius,5.168
11,Austria,7271,7006,June,2004,2004,Celsius,0.449
11,Austria,7271,7006,June,2005,2005,Celsius,1.612
11,Austria,7271,7006,June,2006,2006,Celsius,1.635
11,Austria,7271,7006,June,2007,2007,Celsius,2.766
11,Austria,7271,7006,June,2008,2008,Celsius,2.37
11,Austria,7271,7006,June,2009,2009,Celsius,0.432
11,Austria,7271,7006,June,2010,2010,Celsius,1.501
11,Austria,7271,7006,June,2011,2011,Celsius,1.738
11,Austria,7271,7006,June,2012,2012,Celsius,2.563
11,Austria,7271,7006,June,2013,2013,Celsius,0.964
11,Austria,7271,7006,June,2014,2014,Celsius,1.532
11,Austria,7271,7006,June,2015,2015,Celsius,1.967
11,Austria,7271,7006,June,2016,2016,Celsius,1.916
11,Austria,7271,7006,June,2017,2017,Celsius,3.611
11,Austria,7271,7006,June,2018,2018,Celsius,2.686
11,Austria,7271,7006,June,2019,2019,Celsius,5.024
11,Austria,7271,7007,July,1961,1961,Celsius,-1.238
11,Austria,7271,7007,July,1962,1962,Celsius,-1.231
11,Austria,7271,7007,July,1963,1963,Celsius,1.182
11,Austria,7271,7007,July,1964,1964,Celsius,0.827
11,Austria,7271,7007,July,1965,1965,Celsius,-0.857
11,Austria,7271,7007,July,1966,1966,Celsius,-1.182
11,Austria,7271,7007,July,1967,1967,Celsius,1.832
11,Austria,7271,7007,July,1968,1968,Celsius,-0.427
11,Austria,7271,7007,July,1969,1969,Celsius,0.694
11,Austria,7271,7007,July,1970,1970,Celsius,-0.228
11,Austria,7271,7007,July,1971,1971,Celsius,0.86
11,Austria,7271,7007,July,1972,1972,Celsius,0.232
11,Austria,7271,7007,July,1973,1973,Celsius,-0.035
11,Austria,7271,7007,July,1974,1974,Celsius,-0.525
11,Austria,7271,7007,July,1975,1975,Celsius,0.463
11,Austria,7271,7007,July,1976,1976,Celsius,1.331
11,Austria,7271,7007,July,1977,1977,Celsius,-0.131
11,Austria,7271,7007,July,1978,1978,Celsius,-1.27
