Time (s),Sensor 1 (m),Sensor 2 (m),Sensor 3 (m),Sensor 4 (m),Sensor 5 (m)
178,0.044659846,0.045648384,0.046845084,0.258917036,0.051530222
179,0.045107951,0.043833719,0.04706175,0.258783968,0.050675309
180,0.045880659,0.045963157,0.046656566,0.25901045,0.052568045
181,0.044856167,0.045193655,0.046017072,0.258466548,0.050973883
182,0.044591433,0.043787814,0.046481648,0.25875886,0.051875453
183,0.044363423,0.043300879,0.047921264,0.258281807,0.052199049
184,0.045760335,0.044245173,0.046926199,0.258923263,0.050992681
185,0.047448349,0.045911193,0.047484336,0.258834218,0.051678364
186,0.045786742,0.042917808,0.047797176,0.258153102,0.050068397
187,0.047041615,0.043954689,0.047780965,0.258722316,0.051338806
188,0.044947441,0.045041601,0.047012129,0.258476949,0.051773263
189,0.044778688,0.044083987,0.047366226,0.25806466,0.051024617
190,0.045136998,0.046808118,0.047090617,0.258998632,0.051612016
191,0.045569582,0.045619178,0.046657533,0.259770459,0.052175978
192,0.044278325,0.042625809,0.047203018,0.258402203,0.050549174
193,0.044917489,0.044234191,0.047245492,0.25854421,0.051539802
194,0.04411983,0.043854566,0.046222274,0.258966869,0.051109773
195,0.045795556,0.044371844,0.04664966,0.258747438,0.050345506
196,0.044809493,0.043099858,0.047035965,0.258892142,0.04949183
197,0.043819934,0.043808668,0.046668014,0.258592156,0.051286121
198,0.045653516,0.043779472,0.046305803,0.258825064,0.051467601
199,0.045557838,0.045106084,0.046678053,0.259695532,0.050393045
200,0.045466863,0.040668911,0.047370041,0.25867001,0.050322097
201,0.043248549,0.044772328,0.046715276,0.258012127,0.050891914
202,0.045220337,0.04419966,0.046835533,0.258807018,0.050542063
203,0.045976325,0.044351015,0.047479104,0.258838777,0.050932893
204,0.04477721,0.042170707,0.046713839,0.258506008,0.050048887
205,0.044898114,0.043775314,0.047673335,0.258802254,0.050624576
206,0.044091083,0.04438854,0.047135247,0.258475688,0.050152308
207,0.044518956,0.044745776,0.046274775,0.258516392,0.05100155
208,0.043808782,0.042587904,0.046816447,0.258449967,0.050479983
209,0.045553444,0.040913555,0.046972499,0.258562475,0.048271091
210,0.044847655,0.043960746,0.047599116,0.258834,0.050921728
211,0.029396505,0.041727024,0.046765146,0.258085216,0.049545399
212,0.046000975,0.045655968,0.046303411,0.258968938,0.049516667
213,0.046818879,0.044588783,0.047452837,0.258610421,0.049069247
214,0.04708681,0.046637086,0.047967323,0.259254385,0.052086216
215,0.04652335,0.044336198,0.048462944,0.258605648,0.051120415
216,0.044785132,0.041576846,0.048011944,0.258811372,0.051426616
217,0.044463199,0.043672539,0.047484594,0.258221602,0.053148165
218,0.047467714,0.042978516,0.048332167,0.258366098,0.050452833
219,0.04631791,0.044370324,0.049035624,0.258925345,0.05121089
220,0.046089297,0.044013055,0.047683825,0.258841067,0.051612004
221,0.044885215,0.047171052,0.048111676,0.258831928,0.051891079
222,0.044844712,0.043452572,0.047484586,0.258337847,0.052740121
223,0.04409431,0.044517864,0.047334735,0.259003184,0.051834474
224,0.046124829,0.042765774,0.047954185,0.258302142,0.049248782
225,0.044199078,0.045849358,0.047262661,0.259510767,0.050595301
226,0.045630914,0.044263387,0.047738951,0.258765703,0.04943417
227,0.045672861,0.044751513,0.046707403,0.259932589,0.051930101
228,0.044452611,0.044129893,0.046982996,0.258857042,0.050411861
229,0.046194651,0.045341195,0.046351133,0.25853923,0.052019856
230,0.044362232,0.041985659,0.046484288,0.257694729,0.050017654
231,0.046925391,0.044639595,0.046961999,0.258568268,0.049181366
232,0.044504271,0.044989267,0.047447596,0.258418617,0.050724092
233,0.045272583,0.044960058,0.047353105,0.258614988,0.051007052
234,0.045097097,0.044275519,0.048181368,0.25983669,0.05140072
235,0.04251576,0.042398643,0.047124749,0.258683503,0.050331849
236,0.046549775,0.044734424,0.046219896,0.258371069,0.050692866
237,0.044649538,0.045510734,0.046549912,0.259978273,0.049927893
238,0.045284923,0.045197098,0.047381977,0.258958567,0.051381193
239,0.045601867,0.043253834,0.047838708,0.25863326,0.051785691
240,0.044759323,0.043379,0.047754705,0.258866182,0.051379778
241,0.045379924,0.046201135,0.047713368,0.258061228,0.050856303
242,0.043625504,0.043052656,0.047842786,0.259920414,0.050003348
243,0.044973838,0.042348978,0.045921612,0.258738504,0.049812924
244,0.047412846,0.047604891,0.048274416,0.258994059,0.049918144
245,0.04695475,0.045413238,0.04908811,0.258371063,0.048975573
246,0.045550217,0.044505352,0.048783637,0.258699485,0.050511377
247,0.046103704,0.042011443,0.049503309,0.258543374,0.050623675
248,0.045911765,0.045669241,0.047242859,0.260709004,0.053604456
249,0.044690808,0.044429314,0.047621133,0.25870253,0.051033293
250,0.044786021,0.041556341,0.046701917,0.258765487,0.050714156
251,0.045258498,0.044343782,0.046711453,0.258780035,0.052018088
252,0.044620511,0.044626321,0.046397662,0.258980367,0.050870453
253,0.045989229,0.042527212,0.046551572,0.258622253,0.05073544
254,0.045437225,0.042673975,0.047056493,0.258726882,0.05140905
255,0.046385412,0.04223519,0.048178968,0.258703213,0.050504821
256,0.045007869,0.044718094,0.047738968,0.258859325,0.051110476
257,0.044481699,0.046816473,0.047292729,0.258925543,0.05252334
258,0.045149928,0.042974731,0.04638932,0.258798715,0.050309675
259,0.045369427,0.042819982,0.047135247,0.258742871,0.049906425
260,0.045628274,0.043494281,0.047288926,0.25873436,0.049651496
261,0.045143443,0.044547061,0.047324229,0.258704044,0.051438329
262,0.045299585,0.043194675,0.046771118,0.25869076,0.051484106
263,0.045446897,0.044467788,0.046906891,0.258825078,0.049738597
264,0.044504291,0.04385039,0.047266486,0.258996349,0.049968871
265,0.045989225,0.04377113,0.047686465,0.258955224,0.050768979
266,0.045848366,0.046422051,0.047859213,0.258825711,0.051060098
267,0.044000693,0.043791997,0.047200862,0.259094538,0.051420751
268,0.045158712,0.044040408,0.046773497,0.258865153,0.052199049
269,0.045169293,0.042744893,0.047463366,0.258754273,0.050661634
270,0.045085361,0.045348779,0.046446592,0.258655475,0.050307896
271,0.045710447,0.044984714,0.047410614,0.259141237,0.050086145
272,0.046344328,0.044042291,0.048513277,0.259037445,0.051221718
273,0.044326759,0.045418935,0.047731086,0.258877612,0.051902774
274,0.044756671,0.043005041,0.047279376,0.258659626,0.049273615
275,0.044346114,0.042590557,0.047796702,0.258738305,0.048850679
276,0.046494,0.044669929,0.047441643,0.258636782,0.051331535
277,0.046231346,0.045702622,0.047009255,0.258356944,0.050517224
278,0.043823443,0.043691498,0.04695485,0.258879682,0.051585218
279,0.046215189,0.043867074,0.047610336,0.258162842,0.04913559
280,0.043837151,0.044253195,0.047912768,0.258935949,0.050202837
281,0.046408894,0.044700275,0.047634917,0.258780035,0.05113461
282,0.046898985,0.04151084,0.047403464,0.258609806,0.050969623
283,0.046347556,0.04378784,0.047111628,0.258793107,0.051303668
284,0.046350194,0.045197074,0.048219533,0.258761348,0.051099125
285,0.04586656,0.045364726,0.049006752,0.258804523,0.051044134
286,0.0437501,0.044783728,0.047465493,0.258711522,0.051288955
287,0.045760043,0.04549405,0.048282289,0.259048854,0.05032599
288,0.0459053,0.043950505,0.046935759,0.258918701,0.050214754
289,0.045563706,0.04336157,0.048548831,0.258786255,0.051081388
290,0.045308387,0.040630982,0.047766162,0.258769644,0.051524901
291,0.045553424,0.041163835,0.047801967,0.258110337,0.047357809
292,0.045880659,0.043873536,0.047484579,0.258998009,0.050614801
